path_in_archive	size_bytes	compressed_bytes	crc32
97/diagram/10105290.graph.json	29097	3444	89a9aefa
97/diagram/10105290.json	92162	9516	f7185d05
97/diagram/10105292.graph.json	50980	5638	4f45cc2d
97/diagram/10105292.json	90539	9831	57567c56
97/diagram/10105294.graph.json	5111	959	1369c878
97/diagram/10105294.json	15311	2497	8cceb050
97/diagram/10105296.graph.json	498	225	28020469
97/diagram/10105296.json	2596	652	89e60338
97/diagram/10105298.graph.json	2311	389	f560a6b7
97/diagram/10105298.json	5655	884	c8b68c84
97/diagram/10105300.graph.json	1476	379	27eac6cf
97/diagram/10105300.json	3673	728	9495460d
97/diagram/10105302.graph.json	45562	5064	7a5581b3
97/diagram/10105302.json	121358	12748	d84bcb75
97/diagram/10105306.graph.json	217703	22165	3b4e6c4f
97/diagram/10105306.json	326862	31452	a889a6fb
97/diagram/10105310.graph.json	37834	4402	d398e0b4
97/diagram/10105310.json	84292	9397	758fbc69
97/diagram/10105316.graph.json	50408	5929	aee8279c
97/diagram/10105316.json	160656	16595	738f49ce
97/diagram/10105320.graph.json	43139	4929	85c0c4dd
97/diagram/10105320.json	77531	8225	9a58210c
97/diagram/10105324.graph.json	100513	11391	140abd50
97/diagram/10105324.json	285762	27529	028db4da
97/diagram/10105328.graph.json	49697	6008	9b82ab06
97/diagram/10105328.json	135957	13809	b51e59ad
97/diagram/10105350.graph.json	40977	4449	1af7e5b5
97/diagram/10105350.json	47082	5043	db2f009a
97/diagram/10105358.graph.json	61971	7086	f2ea7aba
97/diagram/10105358.json	163725	16972	45ad8740
97/diagram/10105360.graph.json	889	274	bbaf3436
97/diagram/10105360.json	2209	531	c33cb9fe
97/diagram/10105364.graph.json	65037	6908	466b2647
97/diagram/10105364.json	151002	15736	cfacf68d
97/diagram/10105366.graph.json	8734	1367	2ad62316
97/diagram/10105366.json	14681	2305	0f32cc18
97/diagram/10105368.graph.json	19978	2691	2d81be83
97/diagram/10105368.json	43820	5367	59f9cee9
97/diagram/10105380.graph.json	122323	13262	74335c2a
97/diagram/10105380.json	390193	36632	74d51fc6
97/diagram/10105432.graph.json	113919	13049	f70eaf67
97/diagram/10105432.json	504654	46217	2713ae92
97/diagram/10105434.graph.json	55530	6418	4cb4626b
97/diagram/10105434.json	224378	21040	0cc198da
97/diagram/10105436.graph.json	13591	1793	867901a8
97/diagram/10105436.json	43387	4822	f8ccae51
97/diagram/10105438.graph.json	1375	383	df3665ba
97/diagram/10105438.json	3777	758	6c1cdeff
97/diagram/10105460.graph.json	57210	5756	bfc3fcc3
97/diagram/10105460.json	126851	12943	858601fe
97/diagram/10105476.graph.json	75839	8538	3f267652
97/diagram/10105476.json	253347	24822	b97e583a
97/diagram/10105478.graph.json	865	235	9ed2c302
97/diagram/10105478.json	2169	441	5e3ec4e1
97/diagram/10105484.graph.json	65589	7412	db63c97e
97/diagram/10105484.json	236522	23338	3fb40f85
97/diagram/10105490.graph.json	62195	7113	6670bf2b
97/diagram/10105490.json	224510	21953	a3ccb9d0
97/diagram/10105496.graph.json	81304	9170	50ed78a4
97/diagram/10105496.json	236196	23430	12a990cc
97/diagram/10105500.graph.json	33586	3811	9d95b53e
